Data,Value
2025-03-29,87.1
2025-04-01,88
2025-04-03,87.6
2025-04-05,87
2025-04-06,87.3
2025-04-07,87.7
2025-04-08,88.7
2025-04-11,88
2025-04-15,87
2025-04-21,87
2025-04-22,87
2025-04-23,87.3
2025-04-26,87.3
2025-04-27,88.1
2025-04-28,87.7
2025-04-29,88.2
2025-04-30,87.8
2025-05-01,88.2
2025-05-03,88.4
2025-05-04,89
2025-05-05,88.4
2025-05-06,88.3
2025-05-19,87
2025-05-29,89.4
2025-05-31,90.4
2025-06-02,90.4
2025-06-03,91.1
2025-06-05,91.6
2025-06-09,92.6
2025-06-10,93.2
2025-06-11,93
2025-06-12,93.1
